"1,15","2,5","3,8","4,9","5,11","1,2","2,6","3,8","4,11","5,13","1,2","2,4","3,4","4,8","5,12","1,13","2,9","3,9","4,15","5,14","1,2","2,8","3,3","4,7","5,4"
"1,13","2,11","3,14","4,8","5,4","1,7","2,4","3,4","4,10","5,8","1,1","2,3","3,3","4,5","5,15","1,11","2,2","3,13","4,8","5,6","1,8","2,9","3,13","4,7","5,7"
"1,6","2,14","3,4","4,1","5,5","1,14","2,7","3,5","4,13","5,14","1,13","2,15","3,14","4,10","5,10","1,3","2,2","3,12","4,3","5,9","1,1","2,9","3,15","4,7","5,12"
"1,14","2,8","3,6","4,3","5,12","1,14","2,1","3,13","4,2","5,2","1,5","2,3","3,7","4,9","5,7","1,12","2,2","3,11","4,1","5,15","1,10","2,3","3,14","4,6","5,15"
"1,3","2,6","3,10","4,8","5,12","1,14","2,13","3,6","4,10","5,4","1,10","2,13","3,3","4,8","5,10","1,6","2,6","3,9","4,7","5,2","1,9","2,2","3,1","4,13","5,5"
"1,12","2,15","3,10","4,2","5,5","1,6","2,9","3,11","4,6","5,2","1,10","2,13","3,11","4,2","5,9","1,7","2,2","3,9","4,3","5,2","1,9","2,11","3,3","4,1","5,10"
"1,13","2,9","3,14","4,10","5,15","1,3","2,9","3,10","4,5","5,11","1,13","2,7","3,13","4,6","5,11","1,5","2,10","3,1","4,11","5,2","1,8","2,6","3,9","4,8","5,13"
"1,10","2,10","3,2","4,14","5,14","1,1","2,1","3,11","4,1","5,5","1,9","2,3","3,9","4,15","5,8","1,8","2,12","3,2","4,4","5,4","1,13","2,2","3,10","4,10","5,6"
"1,11","2,14","3,2","4,3","5,7","1,1","2,4","3,5","4,4","5,14","1,2","2,12","3,3","4,10","5,12","1,15","2,6","3,8","4,7","5,5","1,7","2,1","3,1","4,13","5,5"
"1,5","2,2","3,14","4,9","5,9","1,4","2,11","3,2","4,3","5,10","1,10","2,2","3,15","4,1","5,3","1,11","2,6","3,15","4,11","5,14","1,1","2,15","3,6","4,13","5,12"
"1,8","2,12","3,14","4,1","5,13","1,14","2,15","3,15","4,8","5,4","1,12","2,4","3,12","4,13","5,4","1,14","2,3","3,14","4,6","5,8","1,2","2,14","3,11","4,9","5,11"
"1,14","2,11","3,7","4,2","5,1","1,9","2,4","3,13","4,4","5,4","1,4","2,4","3,11","4,3","5,7","1,13","2,3","3,9","4,14","5,14","1,10","2,3","3,14","4,4","5,12"
