Solving problem 1...
Best schedule for problem 1:
Job 1: [(1, 1), (2, 1), (1, 5), (2, 4)]
Job 2: [(1, 6), (2, 7), (1, 8), (2, 4)]
Job 3: [(1, 5), (2, 9), (1, 4), (2, 3)]
Job 4: [(1, 9), (2, 4), (1, 9), (2, 5)]
Job 5: [(1, 9), (2, 6), (1, 8), (2, 1)]
Job 6: [(1, 1), (2, 9), (1, 9), (2, 9)]
Job 7: [(1, 7), (2, 3), (1, 2), (2, 9)]
Job 8: [(1, 3), (2, 4), (1, 9), (2, 8)]
Job 9: [(1, 3), (2, 5), (1, 1), (2, 2)]
Job 10: [(1, 1), (2, 2), (1, 8), (2, 10)]
Job 11: [(1, 4), (2, 7), (1, 4), (2, 8)]
Job 12: [(1, 5), (2, 7), (1, 9), (2, 10)]
Job 13: [(1, 3), (2, 2), (1, 7), (2, 7)]
Job 14: [(1, 6), (2, 1), (1, 3), (2, 1)]
Job 15: [(1, 10), (2, 5), (1, 10), (2, 2)]
Job 16: [(1, 10), (2, 1), (1, 5), (2, 3)]
Job 17: [(1, 2), (2, 7), (1, 6), (2, 7)]
Job 18: [(1, 2), (2, 7), (1, 3), (2, 8)]
Job 19: [(1, 6), (2, 5), (1, 5), (2, 8)]
Job 20: [(1, 1), (2, 3), (1, 4), (2, 9)]
Job 21: [(1, 1), (2, 10), (1, 3), (2, 6)]
Job 22: [(1, 5), (2, 7), (1, 1), (2, 4)]
Job 23: [(1, 1), (2, 8), (1, 10), (2, 8)]
Job 24: [(1, 5), (2, 1), (1, 6), (2, 4)]
Job 25: [(1, 7), (2, 9), (1, 8), (2, 8)]
Job 26: [(1, 8), (2, 3), (1, 2), (2, 1)]
Job 27: [(1, 9), (2, 10), (1, 4), (2, 3)]
Job 28: [(1, 1), (2, 7), (1, 2), (2, 2)]
Job 29: [(1, 1), (2, 10), (1, 3), (2, 10)]
Job 30: [(1, 1), (2, 9), (1, 6), (2, 2)]
Job 31: [(1, 8), (2, 2), (1, 1), (2, 8)]
Job 32: [(1, 4), (2, 8), (1, 8), (2, 6)]
Job 33: [(1, 5), (2, 4), (1, 2), (2, 9)]
Job 34: [(1, 5), (2, 1), (1, 10), (2, 10)]
Job 35: [(1, 3), (2, 9), (1, 10), (2, 3)]
Job 36: [(1, 2), (2, 4), (1, 5), (2, 10)]
Completion time: 769
Solving problem 2...
Best schedule for problem 2:
Job 1: [(1, 10), (2, 8), (1, 1), (2, 10)]
Job 2: [(1, 10), (2, 4), (1, 5), (2, 5)]
Job 3: [(1, 2), (2, 10), (1, 4), (2, 9)]
Job 4: [(1, 7), (2, 4), (1, 7), (2, 7)]
Job 5: [(1, 9), (2, 9), (1, 3), (2, 8)]
Job 6: [(1, 6), (2, 2), (1, 1), (2, 5)]
Job 7: [(1, 6), (2, 9), (1, 8), (2, 7)]
Job 8: [(1, 6), (2, 4), (1, 8), (2, 6)]
Job 9: [(1, 10), (2, 4), (1, 8), (2, 10)]
Job 10: [(1, 7), (2, 5), (1, 10), (2, 5)]
Job 11: [(1, 5), (2, 1), (1, 4), (2, 4)]
Job 12: [(1, 4), (2, 1), (1, 7), (2, 5)]
Job 13: [(1, 6), (2, 10), (1, 10), (2, 2)]
Job 14: [(1, 4), (2, 8), (1, 6), (2, 10)]
Job 15: [(1, 2), (2, 5), (1, 1), (2, 4)]
Job 16: [(1, 2), (2, 2), (1, 6), (2, 1)]
Job 17: [(1, 4), (2, 5), (1, 9), (2, 9)]
Job 18: [(1, 7), (2, 6), (1, 6), (2, 1)]
Job 19: [(1, 3), (2, 9), (1, 3), (2, 4)]
Job 20: [(1, 9), (2, 8), (1, 2), (2, 10)]
Job 21: [(1, 10), (2, 8), (1, 1), (2, 10)]
Job 22: [(1, 2), (2, 3), (1, 9), (2, 9)]
Job 23: [(1, 3), (2, 5), (1, 4), (2, 7)]
Job 24: [(1, 7), (2, 6), (1, 8), (2, 2)]
Job 25: [(1, 8), (2, 7), (1, 8), (2, 7)]
Job 26: [(1, 9), (2, 4), (1, 4), (2, 2)]
Job 27: [(1, 2), (2, 2), (1, 2), (2, 3)]
Job 28: [(1, 5), (2, 10), (1, 3), (2, 3)]
Job 29: [(1, 6), (2, 2), (1, 4), (2, 3)]
Job 30: [(1, 1), (2, 2), (1, 5), (2, 5)]
Job 31: [(1, 10), (2, 2), (1, 6), (2, 8)]
Job 32: [(1, 9), (2, 3), (1, 3), (2, 2)]
Job 33: [(1, 4), (2, 1), (1, 6), (2, 7)]
Job 34: [(1, 8), (2, 1), (1, 5), (2, 4)]
Job 35: [(1, 5), (2, 10), (1, 3), (2, 3)]
Job 36: [(1, 1), (2, 4), (1, 5), (2, 5)]
Completion time: 780
Solving problem 3...
Best schedule for problem 3:
Job 1: [(1, 9), (2, 9), (1, 6), (2, 3)]
Job 2: [(1, 5), (2, 9), (1, 9), (2, 6)]
Job 3: [(1, 9), (2, 7), (1, 4), (2, 8)]
Job 4: [(1, 4), (2, 8), (1, 2), (2, 4)]
Job 5: [(1, 7), (2, 3), (1, 9), (2, 1)]
Job 6: [(1, 2), (2, 6), (1, 7), (2, 2)]
Job 7: [(1, 8), (2, 4), (1, 1), (2, 1)]
Job 8: [(1, 2), (2, 2), (1, 1), (2, 5)]
Job 9: [(1, 6), (2, 3), (1, 1), (2, 3)]
Job 10: [(1, 7), (2, 9), (1, 3), (2, 7)]
Job 11: [(1, 8), (2, 9), (1, 3), (2, 8)]
Job 12: [(1, 10), (2, 8), (1, 1), (2, 7)]
Job 13: [(1, 8), (2, 4), (1, 10), (2, 7)]
Job 14: [(1, 2), (2, 1), (1, 3), (2, 7)]
Job 15: [(1, 2), (2, 2), (1, 10), (2, 9)]
Job 16: [(1, 4), (2, 7), (1, 10), (2, 9)]
Job 17: [(1, 4), (2, 4), (1, 3), (2, 7)]
Job 18: [(1, 7), (2, 9), (1, 8), (2, 7)]
Job 19: [(1, 9), (2, 9), (1, 8), (2, 7)]
Job 20: [(1, 4), (2, 3), (1, 10), (2, 1)]
Job 21: [(1, 4), (2, 8), (1, 5), (2, 2)]
Job 22: [(1, 5), (2, 1), (1, 5), (2, 10)]
Job 23: [(1, 5), (2, 1), (1, 9), (2, 3)]
Job 24: [(1, 9), (2, 8), (1, 1), (2, 8)]
Job 25: [(1, 7), (2, 8), (1, 7), (2, 6)]
Job 26: [(1, 8), (2, 8), (1, 9), (2, 2)]
Job 27: [(1, 4), (2, 1), (1, 1), (2, 5)]
Job 28: [(1, 2), (2, 2), (1, 5), (2, 1)]
Job 29: [(1, 7), (2, 1), (1, 7), (2, 1)]
Job 30: [(1, 4), (2, 5), (1, 9), (2, 6)]
Job 31: [(1, 4), (2, 6), (1, 8), (2, 7)]
Job 32: [(1, 4), (2, 7), (1, 10), (2, 10)]
Job 33: [(1, 3), (2, 1), (1, 3), (2, 6)]
Job 34: [(1, 7), (2, 1), (1, 10), (2, 2)]
Job 35: [(1, 2), (2, 4), (1, 2), (2, 5)]
Job 36: [(1, 2), (2, 4), (1, 3), (2, 1)]
Completion time: 763
Solving problem 4...
Best schedule for problem 4:
Job 1: [(1, 5), (2, 3), (1, 8), (2, 5)]
Job 2: [(1, 2), (2, 1), (1, 7), (2, 2)]
Job 3: [(1, 1), (2, 4), (1, 9), (2, 1)]
Job 4: [(1, 8), (2, 3), (1, 7), (2, 7)]
Job 5: [(1, 8), (2, 3), (1, 6), (2, 3)]
Job 6: [(1, 7), (2, 6), (1, 10), (2, 4)]
Job 7: [(1, 10), (2, 3), (1, 1), (2, 8)]
Job 8: [(1, 4), (2, 10), (1, 3), (2, 5)]
Job 9: [(1, 4), (2, 10), (1, 9), (2, 6)]
Job 10: [(1, 8), (2, 10), (1, 7), (2, 4)]
Job 11: [(1, 6), (2, 9), (1, 5), (2, 5)]
Job 12: [(1, 6), (2, 1), (1, 9), (2, 5)]
Job 13: [(1, 5), (2, 2), (1, 10), (2, 6)]
Job 14: [(1, 6), (2, 5), (1, 7), (2, 3)]
Job 15: [(1, 7), (2, 1), (1, 6), (2, 10)]
Job 16: [(1, 6), (2, 2), (1, 8), (2, 9)]
Job 17: [(1, 1), (2, 8), (1, 6), (2, 10)]
Job 18: [(1, 9), (2, 4), (1, 8), (2, 3)]
Job 19: [(1, 10), (2, 7), (1, 9), (2, 5)]
