Solving problem 1...
Best schedule for problem 1:
Job 1: [(2, 4), (1, 5), (2, 1), (1, 1)]
Job 2: [(2, 7), (1, 6), (2, 4), (1, 8)]
Job 3: [(2, 9), (1, 4), (1, 5), (2, 3)]
Job 4: [(1, 9), (2, 5), (2, 4), (1, 9)]
Job 5: [(2, 1), (2, 6), (1, 9), (1, 8)]
Job 6: [(2, 9), (1, 1), (1, 9), (2, 9)]
Job 7: [(2, 3), (1, 2), (1, 7), (2, 9)]
Job 8: [(2, 4), (1, 9), (1, 3), (2, 8)]
Job 9: [(1, 3), (2, 5), (1, 1), (2, 2)]
Job 10: [(1, 8), (2, 10), (1, 1), (2, 2)]
Job 11: [(1, 4), (2, 8), (1, 4), (2, 7)]
Job 12: [(1, 9), (1, 5), (2, 7), (2, 10)]
Job 13: [(2, 2), (2, 7), (1, 7), (1, 3)]
Job 14: [(2, 1), (1, 6), (2, 1), (1, 3)]
Job 15: [(2, 5), (2, 2), (1, 10), (1, 10)]
Job 16: [(2, 3), (1, 10), (1, 5), (2, 1)]
Job 17: [(2, 7), (2, 7), (1, 2), (1, 6)]
Job 18: [(2, 8), (1, 3), (2, 7), (1, 2)]
Job 19: [(1, 6), (2, 5), (1, 5), (2, 8)]
Job 20: [(1, 4), (2, 9), (1, 1), (2, 3)]
Job 21: [(2, 6), (1, 3), (2, 10), (1, 1)]
Job 22: [(2, 4), (1, 1), (2, 7), (1, 5)]
Job 23: [(2, 8), (2, 8), (1, 10), (1, 1)]
Job 24: [(1, 5), (1, 6), (2, 4), (2, 1)]
Job 25: [(1, 8), (1, 7), (2, 9), (2, 8)]
Job 26: [(2, 3), (2, 1), (1, 2), (1, 8)]
Job 27: [(2, 3), (2, 10), (1, 9), (1, 4)]
Job 28: [(1, 1), (2, 2), (2, 7), (1, 2)]
Job 29: [(2, 10), (2, 10), (1, 1), (1, 3)]
Job 30: [(1, 1), (2, 9), (1, 6), (2, 2)]
Job 31: [(2, 8), (1, 1), (2, 2), (1, 8)]
Job 32: [(1, 4), (2, 6), (2, 8), (1, 8)]
Job 33: [(1, 2), (1, 5), (2, 4), (2, 9)]
Job 34: [(2, 1), (1, 10), (1, 5), (2, 10)]
Job 35: [(2, 9), (1, 10), (1, 3), (2, 3)]
Job 36: [(2, 4), (2, 10), (1, 5), (1, 2)]
Completion time: 32

Solving problem 2...
Best schedule for problem 2:
Job 1: [(2, 10), (1, 10), (1, 1), (2, 8)]
Job 2: [(2, 4), (2, 5), (1, 5), (1, 10)]
