"1,3","2,1","3,9","4,2","5,8","6,5","7,3","8,3","9,1","10,10","11,6","12,9","13,9","14,10","15,3","16,8","17,8","18,7","19,5","20,8","21,8","22,3","23,6","24,2","25,1","26,3","27,1","28,3","29,1","30,10","31,5","32,7","33,2","34,1","35,9","36,8"
"1,4","2,9","3,2","4,3","5,3","6,6","7,5","8,9","9,5","10,3","11,10","12,10","13,1","14,10","15,7","16,9","17,10","18,7","19,8","20,4","21,1","22,9","23,7","24,8","25,10","26,2","27,10","28,7","29,7","30,8","31,9","32,2","33,7","34,2","35,9","36,1"
"1,8","2,3","3,9","4,7","5,8","6,9","7,3","8,3","9,9","10,6","11,7","12,2","13,10","14,5","15,5","16,4","17,5","18,2","19,10","20,1","21,8","22,1","23,3","24,8","25,7","26,9","27,1","28,8","29,3","30,2","31,7","32,1","33,9","34,6","35,9","36,5"
"1,5","2,10","3,1","4,2","5,6","6,6","7,5","8,2","9,5","10,9","11,6","12,5","13,3","14,7","15,8","16,1","17,1","18,10","19,4","20,5","21,1","22,6","23,8","24,2","25,4","26,9","27,7","28,7","29,5","30,3","31,8","32,7","33,9","34,9","35,4","36,5"
"1,7","2,3","3,3","4,1","5,7","6,5","7,8","8,10","9,5","10,3","11,3","12,7","13,8","14,6","15,5","16,1","17,1","18,4","19,4","20,9","21,3","22,2","23,9","24,6","25,1","26,6","27,2","28,7","29,3","30,4","31,1","32,8","33,1","34,3","35,7","36,5"
"1,4","2,1","3,3","4,5","5,4","6,7","7,5","8,1","9,7","10,2","11,3","12,2","13,8","14,8","15,4","16,4","17,1","18,8","19,7","20,1","21,2","22,6","23,10","24,5","25,5","26,1","27,1","28,6","29,8","30,9","31,1","32,1","33,6","34,2","35,4","36,10"
"1,4","2,1","3,7","4,2","5,7","6,3","7,6","8,5","9,7","10,6","11,10","12,4","13,1","14,5","15,2","16,6","17,6","18,1","19,7","20,5","21,7","22,2","23,6","24,10","25,1","26,5","27,6","28,5","29,5","30,1","31,2","32,4","33,3","34,2","35,1","36,9"
"1,5","2,3","3,5","4,4","5,4","6,2","7,7","8,9","9,5","10,6","11,10","12,5","13,1","14,5","15,3","16,4","17,8","18,2","19,2","20,1","21,4","22,4","23,9","24,5","25,4","26,9","27,7","28,7","29,1","30,8","31,7","32,6","33,3","34,1","35,9","36,3"
"1,3","2,4","3,9","4,7","5,2","6,6","7,10","8,2","9,2","10,9","11,8","12,4","13,9","14,10","15,9","16,5","17,2","18,4","19,3","20,5","21,6","22,8","23,5","24,8","25,4","26,4","27,3","28,5","29,2","30,10","31,9","32,9","33,10","34,10","35,6","36,7"
"1,1","2,10","3,2","4,10","5,10","6,5","7,6","8,10","9,2","10,5","11,5","12,10","13,10","14,3","15,8","16,5","17,9","18,1","19,6","20,6","21,6","22,4","23,2","24,3","25,5","26,2","27,3","28,2","29,7","30,2","31,5","32,2","33,5","34,9","35,10","36,4"
"1,5","2,5","3,6","4,1","5,10","6,2","7,10","8,7","9,9","10,9","11,4","12,9","13,2","14,2","15,3","16,8","17,2","18,4","19,3","20,9","21,10","22,5","23,7","24,1","25,8","26,6","27,5","28,8","29,6","30,4","31,1","32,10","33,6","34,8","35,3","36,10"
"1,7","2,5","3,9","4,9","5,8","6,8","7,4","8,5","9,10","10,6","11,4","12,9","13,5","14,7","15,5","16,1","17,4","18,1","19,1","20,9","21,1","22,2","23,5","24,3","25,1","26,1","27,3","28,9","29,1","30,3","31,5","32,9","33,3","34,8","35,4","36,2"
"1,6","2,4","3,10","4,4","5,10","6,8","7,4","8,1","9,2","10,2","11,10","12,2","13,8","14,5","15,1","16,2","17,9","18,1","19,4","20,8","21,7","22,5","23,1","24,4","25,3","26,6","27,4","28,2","29,5","30,5","31,8","32,8","33,5","34,4","35,6","36,6"
"1,9","2,9","3,6","4,1","5,1","6,7","7,1","8,4","9,9","10,5","11,3","12,4","13,4","14,5","15,4","16,4","17,9","18,2","19,2","20,7","21,2","22,4","23,10","24,6","25,3","26,6","27,3","28,3","29,2","30,2","31,7","32,3","33,4","34,2","35,7","36,3"
"1,6","2,10","3,6","4,2","5,9","6,10","7,1","8,10","9,5","10,7","11,5","12,8","13,8","14,10","15,3","16,9","17,9","18,10","19,1","20,6","21,3","22,7","23,9","24,10","25,10","26,5","27,7","28,10","29,10","30,6","31,10","32,9","33,8","34,7","35,4","36,4"
"1,8","2,6","3,8","4,9","5,9","6,2","7,7","8,7","9,6","10,2","11,3","12,7","13,4","14,1","15,9","16,3","17,9","18,3","19,4","20,3","21,10","22,9","23,7","24,1","25,8","26,7","27,2","28,8","29,8","30,10","31,6","32,1","33,2","34,6","35,9","36,2"
"1,1","2,8","3,3","4,5","5,7","6,6","7,8","8,7","9,6","10,10","11,2","12,10","13,3","14,7","15,8","16,4","17,9","18,6","19,4","20,5","21,7","22,4","23,1","24,3","25,3","26,6","27,7","28,1","29,9","30,4","31,9","32,9","33,9","34,4","35,3","36,6"
"1,9","2,3","3,3","4,1","5,2","6,2","7,9","8,3","9,1","10,5","11,1","12,6","13,10","14,1","15,1","16,5","17,8","18,1","19,6","20,4","21,4","22,2","23,5","24,6","25,7","26,9","27,10","28,7","29,3","30,1","31,8","32,5","33,7","34,3","35,4","36,2"
"1,8","2,5","3,1","4,7","5,1","6,1","7,4","8,5","9,6","10,1","11,8","12,5","13,9","14,5","15,10","16,1","17,4","18,7","19,3","20,2","21,10","22,6","23,8","24,9","25,1","26,5","27,8","28,2","29,4","30,7","31,5","32,4","33,7","34,5","35,2","36,3"
"1,8","2,3","3,5","4,4","5,3","6,10","7,5","8,7","9,1","10,2","11,1","12,8","13,3","14,5","15,4","16,3","17,6","18,1","19,7","20,4","21,5","22,6","23,7","24,2","25,5","26,7","27,1","28,5","29,9","30,8","31,3","32,9","33,5","34,10","35,4","36,10"
"1,9","2,4","3,10","4,7","5,4","6,2","7,3","8,3","9,7","10,3","11,8","12,10","13,10","14,4","15,2","16,4","17,8","18,2","19,4","20,8","21,3","22,6","23,5","24,6","25,1","26,7","27,9","28,7","29,6","30,2","31,10","32,4","33,3","34,10","35,6","36,8"
"1,9","2,9","3,6","4,3","5,5","6,7","7,10","8,10","9,9","10,7","11,7","12,7","13,2","14,7","15,5","16,5","17,7","18,1","19,7","20,5","21,10","22,1","23,6","24,9","25,9","26,1","27,1","28,4","29,8","30,6","31,7","32,7","33,1","34,8","35,3","36,10"
"1,10","2,6","3,3","4,2","5,8","6,8","7,10","8,4","9,5","10,1","11,10","12,5","13,4","14,5","15,3","16,6","17,10","18,4","19,1","20,5","21,10","22,5","23,3","24,5","25,7","26,8","27,3","28,9","29,5","30,10","31,3","32,3","33,1","34,1","35,9","36,2"
"1,7","2,8","3,10","4,1","5,5","6,7","7,10","8,3","9,9","10,5","11,6","12,6","13,3","14,3","15,9","16,9","17,2","18,3","19,7","20,3","21,6","22,10","23,9","24,6","25,8","26,9","27,10","28,7","29,3","30,8","31,6","32,4","33,8","34,10","35,6","36,3"
"1,3","2,5","3,8","4,6","5,1","6,8","7,2","8,4","9,5","10,1","11,9","12,7","13,9","14,7","15,8","16,6","17,10","18,10","19,6","20,9","21,2","22,6","23,4","24,4","25,3","26,1","27,10","28,9","29,1","30,1","31,5","32,6","33,10","34,8","35,8","36,7"
"1,4","2,4","3,5","4,5","5,6","6,3","7,9","8,9","9,1","10,10","11,4","12,10","13,8","14,3","15,1","16,7","17,8","18,1","19,8","20,4","21,6","22,2","23,8","24,4","25,2","26,2","27,3","28,4","29,4","30,6","31,2","32,3","33,3","34,1","35,10","36,9"
"1,9","2,4","3,2","4,10","5,7","6,2","7,10","8,8","9,9","10,10","11,6","12,8","13,8","14,7","15,4","16,9","17,6","18,5","19,5","20,10","21,5","22,2","23,1","24,9","25,7","26,2","27,10","28,8","29,1","30,7","31,10","32,7","33,6","34,7","35,3","36,2"
"1,9","2,7","3,6","4,7","5,7","6,4","7,3","8,5","9,9","10,2","11,8","12,8","13,8","14,9","15,10","16,10","17,7","18,3","19,6","20,9","21,5","22,5","23,1","24,3","25,6","26,6","27,10","28,6","29,3","30,9","31,5","32,8","33,4","34,9","35,5","36,10"
"1,3","2,9","3,7","4,4","5,7","6,10","7,7","8,5","9,7","10,5","11,5","12,9","13,3","14,5","15,1","16,4","17,4","18,7","19,8","20,8","21,1","22,3","23,9","24,9","25,6","26,6","27,1","28,10","29,9","30,3","31,5","32,5","33,3","34,5","35,10","36,5"
"1,5","2,9","3,6","4,7","5,7","6,10","7,5","8,2","9,2","10,6","11,9","12,10","13,3","14,10","15,10","16,3","17,10","18,9","19,1","20,10","21,9","22,3","23,8","24,6","25,5","26,10","27,3","28,7","29,4","30,2","31,8","32,7","33,9","34,1","35,5","36,2"
"1,2","2,8","3,3","4,1","5,6","6,9","7,10","8,2","9,1","10,1","11,9","12,5","13,1","14,10","15,2","16,1","17,1","18,6","19,8","20,2","21,5","22,6","23,10","24,9","25,4","26,9","27,9","28,3","29,6","30,4","31,4","32,10","33,10","34,2","35,1","36,8"
"1,4","2,4","3,10","4,1","5,5","6,2","7,2","8,6","9,4","10,3","11,6","12,2","13,7","14,4","15,3","16,9","17,1","18,6","19,4","20,6","21,2","22,5","23,8","24,7","25,8","26,7","27,1","28,7","29,5","30,10","31,8","32,10","33,4","34,9","35,3","36,9"
"1,2","2,9","3,4","4,8","5,1","6,9","7,9","8,7","9,6","10,10","11,5","12,3","13,3","14,9","15,3","16,6","17,5","18,2","19,4","20,3","21,5","22,8","23,9","24,8","25,10","26,10","27,1","28,4","29,8","30,1","31,3","32,2","33,6","34,2","35,4","36,3"
"1,6","2,8","3,5","4,1","5,10","6,2","7,3","8,1","9,8","10,7","11,7","12,1","13,7","14,4","15,8","16,4","17,8","18,7","19,9","20,7","21,10","22,5","23,4","24,4","25,3","26,1","27,8","28,1","29,5","30,1","31,3","32,2","33,8","34,9","35,10","36,4"
"1,3","2,3","3,5","4,6","5,5","6,3","7,2","8,9","9,6","10,9","11,6","12,6","13,6","14,8","15,5","16,4","17,4","18,3","19,3","20,10","21,8","22,10","23,4","24,5","25,5","26,3","27,8","28,5","29,8","30,3","31,1","32,7","33,6","34,4","35,9","36,5"
"1,7","2,4","3,9","4,8","5,6","6,6","7,3","8,9","9,2","10,7","11,1","12,5","13,7","14,2","15,9","16,1","17,9","18,6","19,9","20,8","21,3","22,6","23,8","24,2","25,6","26,3","27,10","28,1","29,4","30,2","31,8","32,2","33,4","34,10","35,8","36,1"
