"1,5","2,5","3,13","4,15","5,3","1,14","2,15","3,4","4,7","5,11","1,8","2,15","3,11","4,3","5,3","1,1","2,10","3,10","4,1","5,2","1,8","2,1","3,3","4,10","5,9"
"1,11","2,4","3,7","4,10","5,13","1,10","2,8","3,8","4,12","5,14","1,6","2,9","3,1","4,13","5,11","1,12","2,11","3,14","4,2","5,13","1,10","2,6","3,14","4,1","5,1"
"1,5","2,7","3,14","4,8","5,1","1,10","2,14","3,8","4,7","5,9","1,14","2,15","3,3","4,2","5,1","1,9","2,12","3,10","4,10","5,6","1,3","2,7","3,3","4,5","5,6"
"1,12","2,5","3,3","4,14","5,5","1,6","2,1","3,5","4,13","5,6","1,4","2,4","3,12","4,6","5,7","1,6","2,12","3,11","4,9","5,11","1,1","2,9","3,8","4,8","5,10"
"1,7","2,6","3,7","4,4","5,3","1,5","2,10","3,4","4,3","5,2","1,8","2,8","3,6","4,6","5,7","1,14","2,4","3,14","4,6","5,2","1,1","2,3","3,14","4,13","5,10"
"1,8","2,1","3,9","4,3","5,13","1,2","2,11","3,4","4,6","5,7","1,10","2,4","3,10","4,11","5,10","1,2","2,5","3,7","4,12","5,9","1,7","2,8","3,14","4,12","5,5"
"1,14","2,6","3,13","4,14","5,12","1,2","2,14","3,6","4,9","5,14","1,10","2,11","3,5","4,5","5,13","1,3","2,10","3,10","4,6","5,7","1,3","2,3","3,11","4,8","5,13"
"1,13","2,3","3,4","4,3","5,7","1,3","2,14","3,6","4,14","5,2","1,4","2,1","3,13","4,11","5,14","1,5","2,15","3,13","4,9","5,9","1,5","2,7","3,11","4,9","5,12"
"1,11","2,9","3,10","4,12","5,9","1,12","2,8","3,8","4,9","5,4","1,3","2,5","3,13","4,9","5,13","1,7","2,8","3,1","4,3","5,10","1,13","2,6","3,12","4,2","5,1"
"1,11","2,3","3,14","4,1","5,15","1,12","2,10","3,13","4,5","5,13","1,4","2,3","3,11","4,10","5,10","1,4","2,9","3,10","4,15","5,12","1,13","2,9","3,5","4,11","5,14"
"1,11","2,5","3,12","4,12","5,8","1,4","2,15","3,10","4,8","5,13","1,3","2,10","3,2","4,2","5,12","1,10","2,1","3,8","4,8","5,13","1,6","2,6","3,9","4,7","5,13"
"1,5","2,6","3,1","4,10","5,3","1,12","2,12","3,14","4,5","5,7","1,2","2,3","3,14","4,3","5,2","1,15","2,14","3,3","4,11","5,15","1,2","2,14","3,12","4,5","5,7"
